keys,en,zh_CN,zh_TW,ja
locGameTitle,GodotTemplate,GodotTemplate,GodotTemplate,GodotTemplate
locLanguageName,English,中文（简体）,中文（繁體）,日本語
locTranslators,,,,

locLangEng,English,英语,英語,英語
locLangChs,Chinese,中文,中文,中国語
locLangChsS,Chinese (Simplified),中文（简体）,中文（簡體）,中国語（簡体字）
locLangChsT,Chinese (Traditional),中文（繁体）,中文（繁體）,中国語（繁体字）
locLangJapan,Japanese,日语,日語,日本語
locLangChsMandarin,Chinese (Mandarin),汉语（普通话）,漢語（國語）,中国語（官話）
locLangChsCantonese,Chinese (Cantonese),汉语（粤语）,漢語（粵語）,中国語（粤語）

locWarningDriverVulkanWindows,You're currently using Vulkan rendering API on Windows\nDisplay effect might won't work as expected,你目前正在Windows上使用Vulkan渲染API\n显示效果可能会与预期不符,你目前正在Windows上使用Vulkan渲染API\n顯示效果可能會與預期不符,現在WindowsでVulkanレンダリングAPIを使用しています\n表示効果が期待通りに動作しない可能性があります
locWarningDriverD3d12,You're currently using Direct3D 12 rendering API\nIt's experimental and might having some issues\nPlease report every bugs you encounter,你目前正在使用Direct3D 12渲染API\n这是实验性的且可能会出现某些问题\n请报告你遇到的任何Bug,你目前正在使用Direct3D 12渲染API\n這是實驗性的且可能會出現某些問題\n請報告你遇到的任何Bug,現在Direct 3D 12レンダリングAPIを使用しています\nこれは実験的なもので、いくつか問題があるかもしれません\nあなたが遭遇したすべてのバグを報告してください
locWarningDriverOpenGL3,You're currently using OpenGL 3 rendering API\nIt's only for compatibility with\noutdated hardwares and it won't be supported\nDisplay effect might won't work as expected,你目前正在使用OpenGL 3渲染API\n这仅用于兼容老旧硬件且不被支持\n显示效果可能会与预期不符,你目前正在使用OpenGL 3渲染API\n這僅用於老舊硬體相容且不被支援\n顯示效果可能會與預期不符,現在OpenGL 3レンダリングAPIを使用しています\nこれは古いハードウェアと互換性があり、\nサポートされていない\n表示効果が期待通りに動作しない可能性があります

locEnabledMod,Mod Loader Enabled,Mod 加载器已启用,Mod 裝載器已啟用,MODローダー有効
locInfoMod,{ModsLoaded} {ModS} loaded\n,载入了 {ModsLoaded} 个 Mod\n,載入了 {ModsLoaded} 個 Mod\n,{ModsLoaded}つのMODをロード\n
locLocInfo,{LocalesLoaded} localization {fileS} loaded\n,载入了 {LocalesLoaded} 份本地化文件\n,載入了 {LocalesLoaded} 份在地化檔案\n,{LocalesLoaded}つの翻訳ファイルをロード\n

locNotice,Notice,注意,注意,注意
locNoticeUpper,NOTICE,注 意,注 意,注 意
locWarning,Warning,警告,警告,警告
locWarningUpper,WARNING,警 告,警 告,警 告
locSelectLang,Please choose a language,请选择语言,請選擇語言,言語を選択してください
locAnyKeySkip,Press any key to Skip,按下任意键跳过,按下任意鍵跳過,スキップするには任意のキーを押してください
locAnyKeyStart,Press any key to Start,按下任意键开始,按下任意鍵開始,開始するには任意のキーを押してください

locOff,Disable,禁用,禁用,オフ
locOn,Enable,启用,啟用,オン
locYes,Yes,是,是,はい
locNo,No,否,否,いいえ
locConfirm,Confirm,确认,確認,確認
locCancel,Cancel,取消,取消,キャンセル
locDone,Done,完成,完成,完了
locClose,Close,关闭,關閉,閉じる
locAccept,Accept,接受,接受,受け入れる
locDeny,Deny,拒绝,拒绝,拒否
locLoading,Loading,加载中,加載中,ロード中

locCopyInfo,Copy Info,复制信息,拷貝訊息,情報のコピー
locMessageInfoCopied,Info Copied,信息已复制,訊息已拷貝,情報がコピーされました
